"host","result","ssl","port",".http-get.uri",".http-post.uri",".user-agent",".watermark","bits"
"https://195.123.217.12:443","Found","True","443","goodgish.com,/jquery-3.3.1.min.js","/jquery-3.3.2.min.js","Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko","305419896","32"
"https://goodgish.com:443","Found","True","443","goodgish.com,/jquery-3.3.1.min.js","/jquery-3.3.2.min.js","Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko","305419896","32"
"http://195.123.217.12:80","Found","False","80","195.123.217.12,/jquery-3.3.1.min.js","/jquery-3.3.2.min.js","Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko","305419896","32"
"http://goodgish.com:80","Found","False","80","195.123.217.12,/jquery-3.3.1.min.js","/jquery-3.3.2.min.js","Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko","305419896","32"
"https://172.241.27.125:443","Found","True","443","massflip.com,/us/ky/louisville/312-s-fourth-st.html,mixalt.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","1580103814","32"
"https://172.241.27.57:443","Found","True","443","zipflag.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","0","32"
"https://173.234.155.124:443","Found","True","443","hayitad.com,/bg","/mt","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9","1580103814","32"
"https://204.16.247.151:443","Found","True","443","idxup.com,/us/ky/louisville/312-s-fourth-st.html,dbhigh.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","1580103814","32"
"https://204.16.247.235:443","Found","True","443","avetool.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","0","32"
"https://204.16.247.41:443","Found","True","443","syscx.com,/dot.gif","/submit.php","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; MASP)","0","32"
"https://23.106.160.111:443","Found","True","443","oaelf.com,/us/ky/louisville/312-s-fourth-st.html,sslfeed.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","1580103814","32"
"https://23.106.160.161:443","Found","True","443","clubuz.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","0","32"
"https://23.106.160.174:443","Found","True","443","docns.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","1580103814","32"
"https://23.106.160.231:443","Found","True","443","hoguyum.com,/rw","/d_config","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246","1580103814","32"
"https://23.106.160.80:443","Found","True","443","findcola.com,/us/ky/louisville/312-s-fourth-st.html,64.187.239.74,/us/ky/louisville/312-s-fourth-st.html,gemsurf.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","0","32"
"https://23.106.215.40:443","Found","True","443","cuphq.com,/visit.js,104.243.41.123,/fwlink","/submit.php","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; Avant Browser)","0","32"
"https://23.108.57.27:443","Found","True","443","104.243.46.74,/ca","/submit.php","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322)","0","32"
"https://23.108.57.3:443","Found","True","443","massflip.com,/us/ky/louisville/312-s-fourth-st.html,mixalt.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","1580103814","32"
"https://23.81.246.16:443","Found","True","443","yejuxo.com,/RELEASE.html","/media","Mozilla/5.0 (Linux; Android 6.0; HTC One X10 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0","1580103814","32"
"https://23.82.140.137:443","Found","True","443","tapavi.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","1580103814","32"
"https://74.118.138.25:443","Found","True","443","domways.com,/us/ky/louisville/312-s-fourth-st.html","/OrderEntryService.asmx/AddOrderLine","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)","0","32"
"https://bitsse.com:443","Found","True","443","hayitad.com,/bg","/mt","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9","1580103814","32"
